x_relative_pos_mm,y_relative_pos_mm,z_relative_pos_mm,name
34.8475,-20.948,-5,h1
34.8475,-14.9629,-5,g1
34.8475,-8.9777,-5,f1
34.8475,-2.9926,-5,e1
34.8475,2.9926,-5,d1
34.8475,8.9777,-5,c1
34.8475,14.9629,-5,b1
34.8475,20.948,-5,a1
28.5116,-20.948,-5,h2
28.5116,-14.9629,-5,g2
28.5116,-8.9777,-5,f2
28.5116,-2.9926,-5,e2
28.5116,2.9926,-5,d2
28.5116,8.9777,-5,c2
28.5116,14.9629,-5,b2
28.5116,20.948,-5,a2
22.1757,-20.948,-5,h3
22.1757,-14.9629,-5,g3
22.1757,-8.9777,-5,f3
22.1757,-2.9926,-5,e3
22.1757,2.9926,-5,d3
22.1757,8.9777,-5,c3
22.1757,14.9629,-5,b3
22.1757,20.948,-5,a3
15.8398,-20.948,-5,h4
15.8398,-14.9629,-5,g4
15.8398,-8.9777,-5,f4
15.8398,-2.9926,-5,e4
15.8398,2.9926,-5,d4
15.8398,8.9777,-5,c4
15.8398,14.9629,-5,b4
15.8398,20.948,-5,a4
9.5039,-20.948,-5,h5
9.5039,-14.9629,-5,g5
9.5039,-8.9777,-5,f5
9.5039,-2.9926,-5,e5
9.5039,2.9926,-5,d5
9.5039,8.9777,-5,c5
9.5039,14.9629,-5,b5
9.5039,20.948,-5,a5
3.168,-20.948,-5,h6
3.168,-14.9629,-5,g6
3.168,-8.9777,-5,f6
3.168,-2.9926,-5,e6
3.168,2.9926,-5,d6
3.168,8.9777,-5,c6
3.168,14.9629,-5,b6
3.168,20.948,-5,a6
-3.168,-20.948,-5,h7
-3.168,-14.9629,-5,g7
-3.168,-8.9777,-5,f7
-3.168,-2.9926,-5,e7
-3.168,2.9926,-5,d7
-3.168,8.9777,-5,c7
-3.168,14.9629,-5,b7
-3.168,20.948,-5,a7
-9.5039,-20.948,-5,h8
-9.5039,-14.9629,-5,g8
-9.5039,-8.9777,-5,f8
-9.5039,-2.9926,-5,e8
-9.5039,2.9926,-5,d8
-9.5039,8.9777,-5,c8
-9.5039,14.9629,-5,b8
-9.5039,20.948,-5,a8
-15.8398,-20.948,-5,h9
-15.8398,-14.9629,-5,g9
-15.8398,-8.9777,-5,f9
-15.8398,-2.9926,-5,e9
-15.8398,2.9926,-5,d9
-15.8398,8.9777,-5,c9
-15.8398,14.9629,-5,b9
-15.8398,20.948,-5,a9
-22.1757,-20.948,-5,h10
-22.1757,-14.9629,-5,g10
-22.1757,-8.9777,-5,f10
-22.1757,-2.9926,-5,e10
-22.1757,2.9926,-5,d10
-22.1757,8.9777,-5,c10
-22.1757,14.9629,-5,b10
-22.1757,20.948,-5,a10
-28.5116,-20.948,-5,h11
-28.5116,-14.9629,-5,g11
-28.5116,-8.9777,-5,f11
-28.5116,-2.9926,-5,e11
-28.5116,2.9926,-5,d11
-28.5116,8.9777,-5,c11
-28.5116,14.9629,-5,b11
-28.5116,20.948,-5,a11
-34.8475,-20.948,-5,h12
-34.8475,-14.9629,-5,g12
-34.8475,-8.9777,-5,f12
-34.8475,-2.9926,-5,e12
-34.8475,2.9926,-5,d12
-34.8475,8.9777,-5,c12
-34.8475,14.9629,-5,b12
-34.8475,20.948,-5,a12
